time	V(vout)
Step Information: Run=0  (Run: 1/65)
4.869498470247010e-001	1.801694e-003
4.869548169655664e-001	1.794176e-003
4.869647568472971e-001	1.792432e-003
5.115653465299832e-001	1.791339e-003
5.359794090299832e-001	1.789669e-003
5.603934715299832e-001	1.788202e-003
5.848075340299832e-001	1.786914e-003
6.092215965299832e-001	1.785783e-003
6.336356590299832e-001	1.784789e-003
6.580497215299832e-001	1.783916e-003
6.824637840299832e-001	1.783150e-003
7.068778465299832e-001	1.782476e-003
7.312919090299832e-001	1.781886e-003
7.557059715299832e-001	1.781371e-003
7.801200340299832e-001	1.780935e-003
8.045340965299832e-001	1.780611e-003
8.289481590299832e-001	1.780508e-003
8.533622215299832e-001	1.780891e-003
8.777762840299832e-001	1.782348e-003
9.021903465299832e-001	1.786196e-003
9.266044090299832e-001	1.796465e-003
9.461356590299832e-001	1.825341e-003
9.510184715299832e-001	1.849665e-003
9.559012840299832e-001	1.892130e-003
9.565116355924832e-001	1.908925e-003
9.577466438322293e-001	1.963747e-003
9.580327461271512e-001	1.987834e-003
9.583379219084012e-001	2.046868e-003
9.589673469572293e-001	2.267897e-003
9.590150306730496e-001	2.345789e-003
9.590388725309598e-001	2.416689e-003
9.590484092741238e-001	2.471535e-003
9.590674827604520e-001	2.639654e-003
9.590722511320340e-001	2.746780e-003
9.590817878751980e-001	3.141614e-003
9.590827919947098e-001	3.233695e-003
9.590848002337333e-001	3.544595e-003
9.590853022934892e-001	3.673299e-003
9.590863064130010e-001	4.055085e-003
9.590865574428789e-001	4.201788e-003
9.590870595026347e-001	4.613080e-003
9.590871850175737e-001	4.756433e-003
9.590874360474516e-001	5.195475e-003
9.590877680620532e-001	6.009283e-003
9.590878303448730e-001	6.246905e-003
9.590879549105127e-001	6.959364e-003
9.590880685200038e-001	7.835612e-003
9.590880969223766e-001	8.150391e-003
9.590881537271222e-001	9.051073e-003
9.590882224221327e-001	1.069640e-002
9.590882810793486e-001	1.302941e-002
9.590883183837878e-001	1.555814e-002
9.590883437044401e-001	1.842567e-002
9.590883642626338e-001	2.221924e-002
9.590883819289997e-001	2.756980e-002
9.590883975235612e-001	3.553186e-002
9.590884115190412e-001	4.791940e-002
9.590884247020306e-001	6.894232e-002
9.590884397563008e-001	1.096935e-001
9.590884536602464e-001	1.680212e-001
9.590884750324208e-001	2.866755e-001
9.590884999719753e-001	4.440980e-001
9.590885236996978e-001	6.018046e-001
9.590885629233664e-001	8.674760e-001
9.590886413707038e-001	1.402930e+000
9.590887982653786e-001	2.472688e+000
9.590888673135986e-001	2.932639e+000
9.590889058287531e-001	3.166377e+000
9.590889248775972e-001	3.255962e+000
9.590889323276359e-001	3.275777e+000
9.590889410078174e-001	3.286458e+000
9.590889436698736e-001	3.288587e+000
9.590889468464210e-001	3.290288e+000
9.590889501972604e-001	3.291483e+000
9.590889533049321e-001	3.292338e+000
9.590889570568283e-001	3.293134e+000
9.590889618734234e-001	3.293919e+000
9.590889664270139e-001	3.294480e+000
9.590889731646701e-001	3.295095e+000
9.590889801841188e-001	3.295563e+000
9.590889908820472e-001	3.296064e+000
9.590890021204495e-001	3.296427e+000
9.590890202124101e-001	3.296813e+000
9.590890392037218e-001	3.297073e+000
9.590890771863453e-001	3.297383e+000
9.590891170236535e-001	3.297573e+000
9.590891966982699e-001	3.297767e+000
9.590893179627982e-001	3.297912e+000
9.590895604918549e-001	3.298029e+000
9.590900455499682e-001	3.298114e+000
9.590929558986484e-001	3.298193e+000
9.590968363635553e-001	3.298204e+000
9.591045972933689e-001	3.298208e+000
9.670362675630011e-001	3.298207e+000
9.768018925630011e-001	3.298208e+000
9.865675175630011e-001	3.298209e+000
1.001215955063001e+000	3.298210e+000
1.015864392563001e+000	3.298211e+000
1.035395642563001e+000	3.298212e+000
1.054926892563001e+000	3.298213e+000
1.079340955063001e+000	3.298214e+000
1.108637830063001e+000	3.298215e+000
1.137934705063001e+000	3.298216e+000
1.172114392563001e+000	3.298217e+000
1.206294080063001e+000	3.298218e+000
1.240473767563001e+000	3.298219e+000
1.279536267563001e+000	3.298219e+000
1.318598767563001e+000	3.298219e+000
1.362544080063001e+000	3.298216e+000
1.391840955063001e+000	3.298208e+000
1.421137830063001e+000	3.298163e+000
1.426020642563001e+000	3.298091e+000
1.430903455063001e+000	3.297895e+000
1.430979749008314e+000	3.297853e+000
1.431132336898939e+000	3.297657e+000
